Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointA_2Mhz_indoor,7,2M,8640,ON,LONG,14,108.0,30,30.0,,1.0,72.1,60.0,3.12,4.960,1660/17860,9.3,1,4.05,1.0,0.0,0.0
,,,,,,,,,,,2.0,3.91,,,,,,2,3.48,2.0,-42.0,18.0
,,,,,,,,,,,3.0,4.92,,,,,,3,3.48,3.0,-63.0,28.0
,,,,,,,,,,,4.0,3.93,,,,,,4,3.48,4.0,-64.0,28.0
,,,,,,,,,,,5.0,4.92,,,,,,5,3.36,5.0,-67.0,28.0
,,,,,,,,,,,6.0,3.92,,,,,,6,3.48,6.0,-66.0,29.0
,,,,,,,,,,,7.0,3.93,,,,,,7,3.48,7.0,-66.0,29.0
,,,,,,,,,,,8.0,3.93,,,,,,8,3.48,8.0,-66.0,28.0
,,,,,,,,,,,9.0,4.93,,,,,,9,3.48,9.0,-66.0,28.0
,,,,,,,,,,,10.0,3.92,,,,,,10,3.48,10.0,-66.0,28.0
,,,,,,,,,,,11.0,3.92,,,,,,11,3.36,11.0,-63.0,28.0
,,,,,,,,,,,12.0,6.94,,,,,,12,3.48,12.0,-62.0,29.0
,,,,,,,,,,,13.0,3.93,,,,,,13,3.48,13.0,-62.0,28.0
,,,,,,,,,,,14.0,3.93,,,,,,14,3.36,14.0,-62.0,28.0
,,,,,,,,,,,15.0,3.93,,,,,,15,3.48,15.0,-63.0,28.0
,,,,,,,,,,,16.0,3.92,,,,,,16,3.48,,,
,,,,,,,,,,,17.0,3.93,,,,,,17,3.48,,,
,,,,,,,,,,,18.0,3.92,,,,,,18,3.36,,,
,,,,,,,,,,,19.0,3.93,,,,,,19,3.48,,,
,,,,,,,,,,,20.0,3.91,,,,,,20,3.48,,,
,,,,,,,,,,,21.0,6.01,,,,,,21,3.48,,,
,,,,,,,,,,,22.0,4.83,,,,,,22,3.48,,,
,,,,,,,,,,,23.0,3.92,,,,,,23,3.36,,,
,,,,,,,,,,,24.0,3.92,,,,,,24,3.36,,,
,,,,,,,,,,,25.0,4.23,,,,,,25,3.48,,,
,,,,,,,,,,,26.0,4.85,,,,,,26,3.36,,,
,,,,,,,,,,,27.0,3.87,,,,,,27,3.48,,,
,,,,,,,,,,,28.0,3.93,,,,,,28,3.48,,,
,,,,,,,,,,,29.0,3.92,,,,,,29,3.36,,,
,,,,,,,,,,,30.0,10.9,,,,,,30,3.36,,,
,,,,,,,,,,,,,,,,,,31,3.48,,,
,,,,,,,,,,,,,,,,,,32,3.48,,,
,,,,,,,,,,,,,,,,,,33,3.36,,,
,,,,,,,,,,,,,,,,,,34,3.48,,,
,,,,,,,,,,,,,,,,,,35,3.36,,,
,,,,,,,,,,,,,,,,,,36,3.48,,,
,,,,,,,,,,,,,,,,,,37,3.48,,,
,,,,,,,,,,,,,,,,,,38,3.48,,,
,,,,,,,,,,,,,,,,,,39,3.36,,,
,,,,,,,,,,,,,,,,,,40,3.36,,,
,,,,,,,,,,,,,,,,,,41,3.24,,,
,,,,,,,,,,,,,,,,,,42,3.48,,,
,,,,,,,,,,,,,,,,,,43,3.48,,,
,,,,,,,,,,,,,,,,,,44,3.36,,,
,,,,,,,,,,,,,,,,,,45,3.48,,,
,,,,,,,,,,,,,,,,,,46,3.48,,,
,,,,,,,,,,,,,,,,,,47,3.48,,,
,,,,,,,,,,,,,,,,,,48,3.48,,,
,,,,,,,,,,,,,,,,,,49,3.36,,,
,,,,,,,,,,,,,,,,,,50,3.59,,,
,,,,,,,,,,,,,,,,,,51,3.48,,,
,,,,,,,,,,,,,,,,,,52,3.36,,,
,,,,,,,,,,,,,,,,,,53,3.48,,,
,,,,,,,,,,,,,,,,,,54,3.48,,,
,,,,,,,,,,,,,,,,,,55,3.36,,,
,,,,,,,,,,,,,,,,,,56,3.48,,,
,,,,,,,,,,,,,,,,,,57,3.48,,,
,,,,,,,,,,,,,,,,,,58,3.36,,,
,,,,,,,,,,,,,,,,,,59,3.48,,,
,,,,,,,,,,,,,,,,,,60,3.48,,,
