Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointC_1Mhz_indoor,4,1M,8635,ON,LONG,14,108.0,30,26.0,13.3333,1.0,18.5,60.0,0.638,18.192,300/3650,8.2,1,1.27,1.0,0.0,0.0
,,,,,,,,,,,2.0,28.7,,,,,,2,0.811,2.0,-92.0,13.0
,,,,,,,,,,,3.0,30.9,,,,,,3,0.695,3.0,-93.0,12.0
,,,,,,,,,,,4.0,23.0,,,,,,4,0.579,4.0,-93.0,11.0
,,,,,,,,,,,5.0,25.0,,,,,,5,0.463,5.0,-97.0,9.0
,,,,,,,,,,,6.0,47.9,,,,,,6,0.579,6.0,-97.0,9.0
,,,,,,,,,,,7.0,11.0,,,,,,7,0.695,7.0,-95.0,9.0
,,,,,,,,,,,8.0,153,,,,,,8,0.579,8.0,-97.0,8.0
,,,,,,,,,,,9.0,27.1,,,,,,9,0.579,9.0,-96.0,9.0
,,,,,,,,,,,10.0,41.0,,,,,,10,0.811,10.0,-96.0,8.0
,,,,,,,,,,,11.0,16.0,,,,,,11,0.463,11.0,-98.0,8.0
,,,,,,,,,,,12.0,34.9,,,,,,12,0.695,12.0,-98.0,8.0
,,,,,,,,,,,13.0,17.9,,,,,,13,0.695,13.0,-98.0,8.0
,,,,,,,,,,,14.0,13.9,,,,,,14,0.695,14.0,-99.0,7.0
,,,,,,,,,,,15.0,10.9,,,,,,15,0.579,15.0,-98.0,8.0
,,,,,,,,,,,16.0,10.9,,,,,,16,0.811,,,
,,,,,,,,,,,17.0,10.9,,,,,,17,0.811,,,
,,,,,,,,,,,18.0,10.9,,,,,,18,0.695,,,
,,,,,,,,,,,19.0,10.9,,,,,,19,0.348,,,
,,,,,,,,,,,20.0,10.9,,,,,,20,0.695,,,
,,,,,,,,,,,21.0,19.0,,,,,,21,0.579,,,
,,,,,,,,,,,22.0,17.9,,,,,,22,0.695,,,
,,,,,,,,,,,23.0,19.0,,,,,,23,0.579,,,
,,,,,,,,,,,24.0,92.1,,,,,,24,0.695,,,
,,,,,,,,,,,25.0,11.0,,,,,,25,0.579,,,
,,,,,,,,,,,26.0,7.99,,,,,,26,0.579,,,
,,,,,,,,,,,,,,,,,,27,0.463,,,
,,,,,,,,,,,,,,,,,,28,0.579,,,
,,,,,,,,,,,,,,,,,,29,0.463,,,
,,,,,,,,,,,,,,,,,,30,0.579,,,
,,,,,,,,,,,,,,,,,,31,0.811,,,
,,,,,,,,,,,,,,,,,,32,0.579,,,
,,,,,,,,,,,,,,,,,,33,0.811,,,
,,,,,,,,,,,,,,,,,,34,1.04,,,
,,,,,,,,,,,,,,,,,,35,0.463,,,
,,,,,,,,,,,,,,,,,,36,0.811,,,
,,,,,,,,,,,,,,,,,,37,0.811,,,
,,,,,,,,,,,,,,,,,,38,0.811,,,
,,,,,,,,,,,,,,,,,,39,1.04,,,
,,,,,,,,,,,,,,,,,,40,0.927,,,
,,,,,,,,,,,,,,,,,,41,0.695,,,
,,,,,,,,,,,,,,,,,,42,0.927,,,
,,,,,,,,,,,,,,,,,,43,0.811,,,
,,,,,,,,,,,,,,,,,,44,0.463,,,
,,,,,,,,,,,,,,,,,,45,0.579,,,
,,,,,,,,,,,,,,,,,,46,0.579,,,
,,,,,,,,,,,,,,,,,,47,0.695,,,
,,,,,,,,,,,,,,,,,,48,0.695,,,
,,,,,,,,,,,,,,,,,,49,0.811,,,
,,,,,,,,,,,,,,,,,,50,0.695,,,
,,,,,,,,,,,,,,,,,,51,0.811,,,
,,,,,,,,,,,,,,,,,,52,0.811,,,
,,,,,,,,,,,,,,,,,,53,0.811,,,
,,,,,,,,,,,,,,,,,,54,0.695,,,
,,,,,,,,,,,,,,,,,,55,0.811,,,
,,,,,,,,,,,,,,,,,,56,0.927,,,
,,,,,,,,,,,,,,,,,,57,0.579,,,
,,,,,,,,,,,,,,,,,,58,0.695,,,
,,,,,,,,,,,,,,,,,,59,0.927,,,
,,,,,,,,,,,,,,,,,,60,0.811,,,
