Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointA_1Mhz,7,1M,8635,ON,LONG,14,108.0,30,25.0,16.6667,1.0,8.85,60.0,1.67,9.257,766/9480,8.1,1,2.55,1.0,0.0,0.0
,,,,,,,,,,,2.0,6.86,,,,,,2,1.74,2.0,-43.0,18.0
,,,,,,,,,,,3.0,5.92,,,,,,3,1.97,3.0,-67.0,28.0
,,,,,,,,,,,4.0,6.88,,,,,,4,1.74,4.0,-68.0,29.0
,,,,,,,,,,,5.0,5.92,,,,,,5,1.85,5.0,-67.0,28.0
,,,,,,,,,,,6.0,5.93,,,,,,6,1.74,6.0,-67.0,28.0
,,,,,,,,,,,7.0,5.93,,,,,,7,1.85,7.0,-67.0,28.0
,,,,,,,,,,,8.0,5.93,,,,,,8,1.85,8.0,-68.0,29.0
,,,,,,,,,,,9.0,38.4,,,,,,9,1.74,9.0,-69.0,28.0
,,,,,,,,,,,10.0,5.98,,,,,,10,1.74,10.0,-71.0,28.0
,,,,,,,,,,,11.0,5.92,,,,,,11,1.85,11.0,-72.0,27.0
,,,,,,,,,,,12.0,5.99,,,,,,12,1.74,12.0,-71.0,28.0
,,,,,,,,,,,13.0,15.9,,,,,,13,1.85,13.0,-67.0,28.0
,,,,,,,,,,,14.0,5.94,,,,,,14,1.74,14.0,-66.0,28.0
,,,,,,,,,,,15.0,5.92,,,,,,15,1.85,15.0,-65.0,28.0
,,,,,,,,,,,16.0,5.92,,,,,,16,1.97,,,
,,,,,,,,,,,17.0,5.93,,,,,,17,1.74,,,
,,,,,,,,,,,18.0,5.87,,,,,,18,1.97,,,
,,,,,,,,,,,19.0,5.93,,,,,,19,1.85,,,
,,,,,,,,,,,20.0,5.94,,,,,,20,1.74,,,
,,,,,,,,,,,21.0,5.92,,,,,,21,1.85,,,
,,,,,,,,,,,22.0,5.93,,,,,,22,1.85,,,
,,,,,,,,,,,23.0,5.92,,,,,,23,1.85,,,
,,,,,,,,,,,24.0,6.93,,,,,,24,1.97,,,
,,,,,,,,,,,25.0,5.93,,,,,,25,1.74,,,
,,,,,,,,,,,,,,,,,,26,1.85,,,
,,,,,,,,,,,,,,,,,,27,1.85,,,
,,,,,,,,,,,,,,,,,,28,1.85,,,
,,,,,,,,,,,,,,,,,,29,1.85,,,
,,,,,,,,,,,,,,,,,,30,1.85,,,
,,,,,,,,,,,,,,,,,,31,1.85,,,
,,,,,,,,,,,,,,,,,,32,1.85,,,
,,,,,,,,,,,,,,,,,,33,1.74,,,
,,,,,,,,,,,,,,,,,,34,1.97,,,
,,,,,,,,,,,,,,,,,,35,1.85,,,
,,,,,,,,,,,,,,,,,,36,1.85,,,
,,,,,,,,,,,,,,,,,,37,1.85,,,
,,,,,,,,,,,,,,,,,,38,1.74,,,
,,,,,,,,,,,,,,,,,,39,1.97,,,
,,,,,,,,,,,,,,,,,,40,1.74,,,
,,,,,,,,,,,,,,,,,,41,1.85,,,
,,,,,,,,,,,,,,,,,,42,1.85,,,
,,,,,,,,,,,,,,,,,,43,1.74,,,
,,,,,,,,,,,,,,,,,,44,1.85,,,
,,,,,,,,,,,,,,,,,,45,1.74,,,
,,,,,,,,,,,,,,,,,,46,1.74,,,
,,,,,,,,,,,,,,,,,,47,1.74,,,
,,,,,,,,,,,,,,,,,,48,1.85,,,
,,,,,,,,,,,,,,,,,,49,1.85,,,
,,,,,,,,,,,,,,,,,,50,1.74,,,
,,,,,,,,,,,,,,,,,,51,1.74,,,
,,,,,,,,,,,,,,,,,,52,1.85,,,
,,,,,,,,,,,,,,,,,,53,1.85,,,
,,,,,,,,,,,,,,,,,,54,1.85,,,
,,,,,,,,,,,,,,,,,,55,1.85,,,
,,,,,,,,,,,,,,,,,,56,1.85,,,
,,,,,,,,,,,,,,,,,,57,1.85,,,
,,,,,,,,,,,,,,,,,,58,1.85,,,
,,,,,,,,,,,,,,,,,,59,1.39,,,
,,,,,,,,,,,,,,,,,,60,1.74,,,
