Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointD_1Mhz,2,1M,8635,ON,LONG,14,108.0,60,55.0,8.33333,1.0,43.8,60.0,0.565,31.366,276/3260,8.5,1,1.16,1.0,0.0,0.0
,,,,,,,,,,,2.0,15.9,,,,,,2,0.579,2.0,-56.0,4.0
,,,,,,,,,,,3.0,28.9,,,,,,3,0.579,3.0,-97.0,8.0
,,,,,,,,,,,4.0,8.94,,,,,,4,0.695,4.0,-96.0,9.0
,,,,,,,,,,,5.0,9.94,,,,,,5,0.695,5.0,-96.0,9.0
,,,,,,,,,,,6.0,15.9,,,,,,6,0.695,6.0,-97.0,8.0
,,,,,,,,,,,7.0,18.9,,,,,,7,0.695,7.0,-98.0,7.0
,,,,,,,,,,,8.0,16.9,,,,,,8,0.695,8.0,-99.0,6.0
,,,,,,,,,,,9.0,15.9,,,,,,9,0.927,9.0,-101.0,2.0
,,,,,,,,,,,10.0,16.0,,,,,,10,0.695,10.0,-102.0,1.0
,,,,,,,,,,,11.0,8.94,,,,,,11,0.811,11.0,-102.0,1.0
,,,,,,,,,,,12.0,8.93,,,,,,12,0.695,12.0,-102.0,0.0
,,,,,,,,,,,13.0,8.93,,,,,,13,0.811,13.0,-102.0,0.0
,,,,,,,,,,,14.0,13.9,,,,,,14,0.811,14.0,-103.0,0.0
,,,,,,,,,,,15.0,8.94,,,,,,15,0.579,15.0,-102.0,0.0
,,,,,,,,,,,16.0,8.92,,,,,,16,0.463,,,
,,,,,,,,,,,17.0,8.93,,,,,,17,0.695,,,
,,,,,,,,,,,18.0,19.9,,,,,,18,0.695,,,
,,,,,,,,,,,19.0,27.9,,,,,,19,0.695,,,
,,,,,,,,,,,20.0,13.9,,,,,,20,0.695,,,
,,,,,,,,,,,21.0,11.9,,,,,,21,0.695,,,
,,,,,,,,,,,22.0,16.9,,,,,,22,0.579,,,
,,,,,,,,,,,23.0,9.94,,,,,,23,0.463,,,
,,,,,,,,,,,24.0,11.9,,,,,,24,0.579,,,
,,,,,,,,,,,25.0,7.94,,,,,,25,0.579,,,
,,,,,,,,,,,26.0,7.96,,,,,,26,0.579,,,
,,,,,,,,,,,27.0,7.91,,,,,,27,0.695,,,
,,,,,,,,,,,28.0,7.95,,,,,,28,0.463,,,
,,,,,,,,,,,29.0,7.92,,,,,,29,0.579,,,
,,,,,,,,,,,30.0,7.93,,,,,,30,0.695,,,
,,,,,,,,,,,31.0,15.9,,,,,,31,0.463,,,
,,,,,,,,,,,32.0,11.9,,,,,,32,0.579,,,
,,,,,,,,,,,33.0,7.93,,,,,,33,0.579,,,
,,,,,,,,,,,34.0,7.93,,,,,,34,0.347,,,
,,,,,,,,,,,35.0,12.9,,,,,,35,0.463,,,
,,,,,,,,,,,36.0,21.0,,,,,,36,0.579,,,
,,,,,,,,,,,37.0,7.92,,,,,,37,0.579,,,
,,,,,,,,,,,38.0,7.93,,,,,,38,0.579,,,
,,,,,,,,,,,39.0,83.5,,,,,,39,0.579,,,
,,,,,,,,,,,40.0,12.0,,,,,,40,0.579,,,
,,,,,,,,,,,41.0,9.88,,,,,,41,0.695,,,
,,,,,,,,,,,42.0,12.9,,,,,,42,0.695,,,
,,,,,,,,,,,43.0,29.9,,,,,,43,0.579,,,
,,,,,,,,,,,44.0,13.9,,,,,,44,0.463,,,
,,,,,,,,,,,45.0,7.94,,,,,,45,0.579,,,
,,,,,,,,,,,46.0,7.87,,,,,,46,0.579,,,
,,,,,,,,,,,47.0,7.89,,,,,,47,0.579,,,
,,,,,,,,,,,48.0,7.93,,,,,,48,0.695,,,
,,,,,,,,,,,49.0,7.94,,,,,,49,0.579,,,
,,,,,,,,,,,50.0,13.2,,,,,,50,0.579,,,
,,,,,,,,,,,51.0,8.64,,,,,,51,0.579,,,
,,,,,,,,,,,52.0,7.88,,,,,,52,0.579,,,
,,,,,,,,,,,53.0,7.93,,,,,,53,0.579,,,
,,,,,,,,,,,54.0,7.93,,,,,,54,0.811,,,
,,,,,,,,,,,55.0,15.9,,,,,,55,0.579,,,
,,,,,,,,,,,,,,,,,,56,0.579,,,
,,,,,,,,,,,,,,,,,,57,0.579,,,
,,,,,,,,,,,,,,,,,,58,0.579,,,
,,,,,,,,,,,,,,,,,,59,0.695,,,
,,,,,,,,,,,,,,,,,,60,0.579,,,
