Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointF_1Mhz_indoor,7,1M,8635,ON,LONG,14,108.0,60,55.0,8.33333,1.0,85.3,60.0,1.23,11.658,565/7010,8.1,1,1.97,1.0,0.0,0.0
,,,,,,,,,,,2.0,5.95,,,,,,2,1.39,2.0,-87.0,21.0
,,,,,,,,,,,3.0,27.2,,,,,,3,0.811,3.0,-86.0,21.0
,,,,,,,,,,,4.0,6.29,,,,,,4,1.04,4.0,-86.0,21.0
,,,,,,,,,,,5.0,5.93,,,,,,5,1.16,5.0,-86.0,21.0
,,,,,,,,,,,6.0,5.92,,,,,,6,1.39,6.0,-87.0,19.0
,,,,,,,,,,,7.0,8.93,,,,,,7,1.62,7.0,-87.0,19.0
,,,,,,,,,,,8.0,5.94,,,,,,8,1.39,8.0,-88.0,20.0
,,,,,,,,,,,9.0,5.93,,,,,,9,1.39,9.0,-86.0,21.0
,,,,,,,,,,,10.0,5.93,,,,,,10,1.27,10.0,-87.0,21.0
,,,,,,,,,,,11.0,5.93,,,,,,11,1.39,11.0,-86.0,21.0
,,,,,,,,,,,12.0,5.92,,,,,,12,1.62,12.0,-86.0,21.0
,,,,,,,,,,,13.0,5.92,,,,,,13,1.62,13.0,-85.0,22.0
,,,,,,,,,,,14.0,5.86,,,,,,14,1.85,14.0,-85.0,22.0
,,,,,,,,,,,15.0,5.93,,,,,,15,1.62,15.0,-85.0,22.0
,,,,,,,,,,,16.0,10.9,,,,,,16,1.62,,,
,,,,,,,,,,,17.0,46.9,,,,,,17,1.39,,,
,,,,,,,,,,,18.0,55.0,,,,,,18,1.62,,,
,,,,,,,,,,,19.0,47.0,,,,,,19,1.27,,,
,,,,,,,,,,,20.0,5.96,,,,,,20,1.39,,,
,,,,,,,,,,,21.0,5.93,,,,,,21,1.39,,,
,,,,,,,,,,,22.0,28.9,,,,,,22,1.16,,,
,,,,,,,,,,,23.0,5.95,,,,,,23,1.27,,,
,,,,,,,,,,,24.0,9.93,,,,,,24,1.16,,,
,,,,,,,,,,,25.0,5.94,,,,,,25,1.16,,,
,,,,,,,,,,,26.0,5.95,,,,,,26,0.927,,,
,,,,,,,,,,,27.0,33.9,,,,,,27,1.16,,,
,,,,,,,,,,,28.0,13.0,,,,,,28,1.16,,,
,,,,,,,,,,,29.0,8.77,,,,,,29,1.39,,,
,,,,,,,,,,,30.0,14.4,,,,,,30,1.27,,,
,,,,,,,,,,,31.0,6.84,,,,,,31,1.27,,,
,,,,,,,,,,,32.0,5.94,,,,,,32,1.27,,,
,,,,,,,,,,,33.0,5.92,,,,,,33,1.16,,,
,,,,,,,,,,,34.0,8.98,,,,,,34,1.27,,,
,,,,,,,,,,,35.0,6.88,,,,,,35,1.27,,,
,,,,,,,,,,,36.0,5.90,,,,,,36,1.27,,,
,,,,,,,,,,,37.0,5.95,,,,,,37,1.39,,,
,,,,,,,,,,,38.0,7.21,,,,,,38,1.39,,,
,,,,,,,,,,,39.0,6.65,,,,,,39,1.04,,,
,,,,,,,,,,,40.0,5.93,,,,,,40,1.27,,,
,,,,,,,,,,,41.0,5.92,,,,,,41,1.16,,,
,,,,,,,,,,,42.0,5.93,,,,,,42,1.27,,,
,,,,,,,,,,,43.0,8.09,,,,,,43,1.04,,,
,,,,,,,,,,,44.0,6.77,,,,,,44,0.927,,,
,,,,,,,,,,,45.0,6.80,,,,,,45,1.16,,,
,,,,,,,,,,,46.0,5.93,,,,,,46,1.39,,,
,,,,,,,,,,,47.0,34.0,,,,,,47,1.04,,,
,,,,,,,,,,,48.0,5.97,,,,,,48,1.39,,,
,,,,,,,,,,,49.0,5.92,,,,,,49,1.27,,,
,,,,,,,,,,,50.0,6.02,,,,,,50,1.51,,,
,,,,,,,,,,,51.0,5.95,,,,,,51,1.51,,,
,,,,,,,,,,,52.0,5.93,,,,,,52,1.51,,,
,,,,,,,,,,,53.0,5.93,,,,,,53,1.51,,,
,,,,,,,,,,,54.0,5.92,,,,,,54,1.51,,,
,,,,,,,,,,,55.0,5.94,,,,,,55,1.51,,,
,,,,,,,,,,,,,,,,,,56,1.62,,,
,,,,,,,,,,,,,,,,,,57,1.62,,,
,,,,,,,,,,,,,,,,,,58,1.62,,,
,,,,,,,,,,,,,,,,,,59,1.62,,,
,,,,,,,,,,,,,,,,,,60,1.51,,,
