Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointK_2Mhz,0,2M,8640,ON,LONG,14,108.0,60,24.0,,1,111,,,,,,,,1.0,-101.0,2.0
,,,,,,,,,,,2,75.0,,,,,,,,2.0,-101.0,2.0
,,,,,,,,,,,3,12.0,,,,,,,,3.0,-102.0,0.0
,,,,,,,,,,,4,31.9,,,,,,,,4.0,-101.0,0.0
,,,,,,,,,,,5,13.0,,,,,,,,5.0,-102.0,0.0
,,,,,,,,,,,6,18.9,,,,,,,,6.0,-102.0,1.0
,,,,,,,,,,,7,42.9,,,,,,,,7.0,-102.0,1.0
,,,,,,,,,,,8,18.0,,,,,,,,8.0,-101.0,1.0
,,,,,,,,,,,9,12.9,,,,,,,,9.0,-101.0,2.0
,,,,,,,,,,,10,30.9,,,,,,,,10.0,-101.0,2.0
,,,,,,,,,,,11,37.0,,,,,,,,11.0,-101.0,3.0
,,,,,,,,,,,12,71.0,,,,,,,,12.0,-101.0,2.0
,,,,,,,,,,,13,51.3,,,,,,,,13.0,-102.0,1.0
,,,,,,,,,,,14,8.97,,,,,,,,14.0,-101.0,0.0
,,,,,,,,,,,15,17.9,,,,,,,,15.0,-101.0,3.0
,,,,,,,,,,,16,11.9,,,,,,,,,,
,,,,,,,,,,,17,18.9,,,,,,,,,,
,,,,,,,,,,,18,83.0,,,,,,,,,,
,,,,,,,,,,,19,19.0,,,,,,,,,,
,,,,,,,,,,,20,18.9,,,,,,,,,,
,,,,,,,,,,,21,13.9,,,,,,,,,,
,,,,,,,,,,,22,179,,,,,,,,,,
,,,,,,,,,,,23,34.1,,,,,,,,,,
,,,,,,,,,,,24,28.8,,,,,,,,,,
