Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
point25_1Mhz_outdoor,7,1M,8635,ON,LONG,14,108.0,20,20.0,,1.0,173,60.0,1.51,11.248,708/4660,15,1,2.32,1.0,-85.0,22.0
,,,,,,,,,,,2.0,6.02,,,,,,2,1.85,2.0,-84.0,23.0
,,,,,,,,,,,3.0,5.90,,,,,,3,1.62,3.0,-84.0,23.0
,,,,,,,,,,,4.0,5.93,,,,,,4,1.85,4.0,-84.0,23.0
,,,,,,,,,,,5.0,8.89,,,,,,5,1.74,5.0,-84.0,23.0
,,,,,,,,,,,6.0,5.92,,,,,,6,1.85,6.0,-84.0,22.0
,,,,,,,,,,,7.0,5.87,,,,,,7,1.74,7.0,-84.0,23.0
,,,,,,,,,,,8.0,5.88,,,,,,8,1.97,8.0,-82.0,24.0
,,,,,,,,,,,9.0,5.88,,,,,,9,1.74,9.0,-82.0,24.0
,,,,,,,,,,,10.0,5.91,,,,,,10,1.85,10.0,-86.0,21.0
,,,,,,,,,,,11.0,5.87,,,,,,11,1.74,11.0,-89.0,18.0
,,,,,,,,,,,12.0,5.87,,,,,,12,1.85,12.0,-92.0,13.0
,,,,,,,,,,,13.0,6.83,,,,,,13,1.85,13.0,-93.0,11.0
,,,,,,,,,,,14.0,5.88,,,,,,14,1.85,14.0,-91.0,15.0
,,,,,,,,,,,15.0,5.87,,,,,,15,1.85,15.0,-91.0,16.0
,,,,,,,,,,,16.0,5.87,,,,,,16,1.74,,,
,,,,,,,,,,,17.0,5.86,,,,,,17,1.74,,,
,,,,,,,,,,,18.0,5.87,,,,,,18,1.85,,,
,,,,,,,,,,,19.0,5.87,,,,,,19,1.85,,,
,,,,,,,,,,,20.0,5.87,,,,,,20,1.62,,,
,,,,,,,,,,,,,,,,,,21,1.74,,,
,,,,,,,,,,,,,,,,,,22,1.74,,,
,,,,,,,,,,,,,,,,,,23,1.74,,,
,,,,,,,,,,,,,,,,,,24,1.74,,,
,,,,,,,,,,,,,,,,,,25,1.85,,,
,,,,,,,,,,,,,,,,,,26,1.62,,,
,,,,,,,,,,,,,,,,,,27,1.85,,,
,,,,,,,,,,,,,,,,,,28,1.74,,,
,,,,,,,,,,,,,,,,,,29,1.74,,,
,,,,,,,,,,,,,,,,,,30,1.74,,,
