Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointA_1Mhz_outdoor,6,1M,8635,ON,LONG,14,108.0,20,18.0,,1.0,93.5,60.0,1.16,16.292,0/3070,0,1,1.27,1.0,0.0,0.0
,,,,,,,,,,,2.0,30.0,,,,,,2,0.927,2.0,-68.0,16.0
,,,,,,,,,,,3.0,64.8,,,,,,3,1.16,3.0,-87.0,21.0
,,,,,,,,,,,4.0,33.0,,,,,,4,1.27,4.0,-87.0,20.0
,,,,,,,,,,,5.0,27.9,,,,,,5,1.04,5.0,-87.0,21.0
,,,,,,,,,,,6.0,12.9,,,,,,6,1.27,6.0,-87.0,20.0
,,,,,,,,,,,7.0,26.9,,,,,,7,1.04,7.0,-87.0,20.0
,,,,,,,,,,,8.0,30.9,,,,,,8,1.16,8.0,-87.0,20.0
,,,,,,,,,,,9.0,28.0,,,,,,9,1.16,9.0,-87.0,20.0
,,,,,,,,,,,10.0,29.0,,,,,,10,1.16,10.0,-87.0,20.0
,,,,,,,,,,,11.0,29.9,,,,,,11,1.04,11.0,-87.0,20.0
,,,,,,,,,,,12.0,14.0,,,,,,12,1.16,12.0,-88.0,20.0
,,,,,,,,,,,13.0,32.9,,,,,,13,1.16,13.0,-88.0,20.0
,,,,,,,,,,,14.0,32.9,,,,,,14,1.16,14.0,-88.0,19.0
,,,,,,,,,,,15.0,62.0,,,,,,15,1.04,15.0,-87.0,20.0
,,,,,,,,,,,16.0,53.0,,,,,,16,1.16,,,
,,,,,,,,,,,17.0,6.94,,,,,,17,1.16,,,
,,,,,,,,,,,18.0,152,,,,,,18,1.39,,,
,,,,,,,,,,,,,,,,,,19,1.16,,,
,,,,,,,,,,,,,,,,,,20,1.27,,,
,,,,,,,,,,,,,,,,,,21,1.16,,,
,,,,,,,,,,,,,,,,,,22,1.04,,,
,,,,,,,,,,,,,,,,,,23,1.27,,,
,,,,,,,,,,,,,,,,,,24,1.27,,,
,,,,,,,,,,,,,,,,,,25,1.27,,,
,,,,,,,,,,,,,,,,,,26,1.27,,,
,,,,,,,,,,,,,,,,,,27,1.27,,,
,,,,,,,,,,,,,,,,,,28,1.27,,,
,,,,,,,,,,,,,,,,,,29,1.27,,,
,,,,,,,,,,,,,,,,,,30,1.27,,,
