Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointB_1Mhz_outdoor,6,1M,8635,ON,LONG,14,108.0,20,15.0,,1.0,6.96,60.0,1.27,11.834,0/3350,0,1,1.74,1.0,-87.0,20.0
,,,,,,,,,,,2.0,6.73,,,,,,2,1.16,2.0,-86.0,21.0
,,,,,,,,,,,3.0,5.91,,,,,,3,1.27,3.0,-86.0,21.0
,,,,,,,,,,,4.0,5.92,,,,,,4,1.16,4.0,-86.0,21.0
,,,,,,,,,,,5.0,5.93,,,,,,5,1.16,5.0,-86.0,21.0
,,,,,,,,,,,6.0,5.91,,,,,,6,1.27,6.0,-86.0,21.0
,,,,,,,,,,,7.0,8.14,,,,,,7,1.04,7.0,-87.0,20.0
,,,,,,,,,,,8.0,6.71,,,,,,8,1.16,8.0,-86.0,21.0
,,,,,,,,,,,9.0,5.92,,,,,,9,1.27,9.0,-86.0,21.0
,,,,,,,,,,,10.0,5.93,,,,,,10,1.16,10.0,-87.0,20.0
,,,,,,,,,,,11.0,45.9,,,,,,11,1.04,11.0,-86.0,21.0
,,,,,,,,,,,12.0,5.97,,,,,,12,1.16,12.0,-86.0,21.0
,,,,,,,,,,,13.0,6.88,,,,,,13,1.16,13.0,-86.0,21.0
,,,,,,,,,,,14.0,6.90,,,,,,14,1.04,14.0,-85.0,21.0
,,,,,,,,,,,15.0,6.93,,,,,,15,1.16,15.0,-85.0,22.0
,,,,,,,,,,,,,,,,,,16,1.04,,,
,,,,,,,,,,,,,,,,,,17,1.27,,,
,,,,,,,,,,,,,,,,,,18,1.16,,,
,,,,,,,,,,,,,,,,,,19,1.27,,,
,,,,,,,,,,,,,,,,,,20,1.27,,,
,,,,,,,,,,,,,,,,,,21,1.16,,,
,,,,,,,,,,,,,,,,,,22,1.27,,,
,,,,,,,,,,,,,,,,,,23,1.39,,,
,,,,,,,,,,,,,,,,,,24,1.62,,,
,,,,,,,,,,,,,,,,,,25,1.51,,,
,,,,,,,,,,,,,,,,,,26,1.62,,,
,,,,,,,,,,,,,,,,,,27,1.62,,,
,,,,,,,,,,,,,,,,,,28,1.62,,,
,,,,,,,,,,,,,,,,,,29,1.51,,,
,,,,,,,,,,,,,,,,,,30,1.51,,,
