Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointD_1Mhz_outdoor,10,1M,8635,ON,LONG,14,108.0,20,19.0,,1.0,98.8,60.0,0.0,0.000,0/0,0,1,0.694,1.0,0.0,0.0
,,,,,,,,,,,2.0,33.0,,,,,,2,0.0,2.0,-80.0,0.0
,,,,,,,,,,,3.0,24.0,,,,,,3,0.116,3.0,-103.0,0.0
,,,,,,,,,,,4.0,33.9,,,,,,4,0.0,4.0,-103.0,0.0
,,,,,,,,,,,5.0,33.0,,,,,,5,0.0,5.0,-103.0,0.0
,,,,,,,,,,,6.0,50.0,,,,,,6,0.116,6.0,-103.0,0.0
,,,,,,,,,,,7.0,32.0,,,,,,7,0.0,7.0,-103.0,0.0
,,,,,,,,,,,8.0,126,,,,,,8,0.116,8.0,-103.0,0.0
,,,,,,,,,,,9.0,38.0,,,,,,9,0.0,9.0,-103.0,0.0
,,,,,,,,,,,10.0,86.1,,,,,,10,0.116,10.0,-102.0,0.0
,,,,,,,,,,,11.0,48.0,,,,,,11,0.0,11.0,-103.0,0.0
,,,,,,,,,,,12.0,44.0,,,,,,12,0.116,12.0,-103.0,0.0
,,,,,,,,,,,13.0,52.0,,,,,,13,0.0,13.0,-103.0,0.0
,,,,,,,,,,,14.0,61.0,,,,,,14,0.0,14.0,-102.0,0.0
,,,,,,,,,,,15.0,60.0,,,,,,15,0.116,15.0,-102.0,0.0
,,,,,,,,,,,16.0,86.8,,,,,,16,0.0,,,
,,,,,,,,,,,17.0,151,,,,,,17,0.116,,,
,,,,,,,,,,,18.0,276,,,,,,18,0.0,,,
,,,,,,,,,,,19.0,154,,,,,,19,0.0,,,
,,,,,,,,,,,,,,,,,,20,0.0,,,
,,,,,,,,,,,,,,,,,,21,0.116,,,
,,,,,,,,,,,,,,,,,,22,0.0,,,
,,,,,,,,,,,,,,,,,,23,0.116,,,
,,,,,,,,,,,,,,,,,,24,0.0,,,
,,,,,,,,,,,,,,,,,,25,0.0,,,
,,,,,,,,,,,,,,,,,,26,0.116,,,
,,,,,,,,,,,,,,,,,,27,0.0,,,
,,,,,,,,,,,,,,,,,,28,0.116,,,
,,,,,,,,,,,,,,,,,,29,0.116,,,
,,,,,,,,,,,,,,,,,,30,0.0,,,
