Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointE_1Mhz_outdoor,1,1M,8635,ON,LONG,14,108.0,20,16.0,,1.0,81.3,60.0,0.306,47.434,240/1080,22,1,1.27,1.0,0.0,0.0
,,,,,,,,,,,2.0,171,,,,,,2,0.463,2.0,-63.0,4.0
,,,,,,,,,,,3.0,22.0,,,,,,3,0.116,3.0,-98.0,7.0
,,,,,,,,,,,4.0,17.9,,,,,,4,0.348,4.0,-98.0,8.0
,,,,,,,,,,,5.0,13.9,,,,,,5,0.695,5.0,-95.0,10.0
,,,,,,,,,,,6.0,34.9,,,,,,6,0.579,6.0,-93.0,10.0
,,,,,,,,,,,7.0,35.0,,,,,,7,0.579,7.0,-94.0,9.0
,,,,,,,,,,,8.0,23.9,,,,,,8,0.579,8.0,-95.0,9.0
,,,,,,,,,,,9.0,16.9,,,,,,9,0.463,9.0,-98.0,8.0
,,,,,,,,,,,10.0,39.9,,,,,,10,0.579,10.0,-99.0,6.0
,,,,,,,,,,,11.0,15.1,,,,,,11,0.695,11.0,-101.0,2.0
,,,,,,,,,,,12.0,8.93,,,,,,12,0.695,12.0,-102.0,1.0
,,,,,,,,,,,13.0,29.9,,,,,,13,0.695,13.0,-102.0,1.0
,,,,,,,,,,,14.0,8.95,,,,,,14,0.695,14.0,-102.0,0.0
,,,,,,,,,,,15.0,8.94,,,,,,15,0.579,15.0,-103.0,0.0
,,,,,,,,,,,16.0,16.9,,,,,,16,0.811,,,
,,,,,,,,,,,,,,,,,,17,1.16,,,
,,,,,,,,,,,,,,,,,,18,0.116,,,
,,,,,,,,,,,,,,,,,,19,0.116,,,
,,,,,,,,,,,,,,,,,,20,0.116,,,
,,,,,,,,,,,,,,,,,,21,0.0,,,
,,,,,,,,,,,,,,,,,,22,0.232,,,
,,,,,,,,,,,,,,,,,,23,0.0,,,
,,,,,,,,,,,,,,,,,,24,0.116,,,
,,,,,,,,,,,,,,,,,,25,0.0,,,
,,,,,,,,,,,,,,,,,,26,0.0,,,
,,,,,,,,,,,,,,,,,,27,0.116,,,
,,,,,,,,,,,,,,,,,,28,0.0,,,
,,,,,,,,,,,,,,,,,,29,0.116,,,
,,,,,,,,,,,,,,,,,,30,0.58,,,
