Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
point75_1Mhz_outdoor,2,1M,8635,ON,LONG,14,108.0,20,20.0,,1.0,123,60.0,0.446,28.962,282/1480,19,1,1.16,1.0,-94.0,13.0
,,,,,,,,,,,2.0,20.0,,,,,,2,0.579,2.0,-98.0,8.0
,,,,,,,,,,,3.0,17.9,,,,,,3,0.579,3.0,-97.0,8.0
,,,,,,,,,,,4.0,11.9,,,,,,4,0.579,4.0,-97.0,8.0
,,,,,,,,,,,5.0,38.0,,,,,,5,0.579,5.0,-98.0,8.0
,,,,,,,,,,,6.0,24.9,,,,,,6,0.695,6.0,-98.0,8.0
,,,,,,,,,,,7.0,6.92,,,,,,7,0.695,7.0,-99.0,6.0
,,,,,,,,,,,8.0,6.93,,,,,,8,0.579,8.0,-100.0,5.0
,,,,,,,,,,,9.0,6.93,,,,,,9,0.463,9.0,-99.0,5.0
,,,,,,,,,,,10.0,6.94,,,,,,10,0.695,10.0,-99.0,6.0
,,,,,,,,,,,11.0,6.93,,,,,,11,0.232,11.0,-99.0,5.0
,,,,,,,,,,,12.0,12.9,,,,,,12,0.232,12.0,-99.0,6.0
,,,,,,,,,,,13.0,9.93,,,,,,13,0.463,13.0,-99.0,6.0
,,,,,,,,,,,14.0,6.93,,,,,,14,0.463,14.0,-99.0,6.0
,,,,,,,,,,,15.0,11.9,,,,,,15,0.347,15.0,-98.0,7.0
,,,,,,,,,,,16.0,16.9,,,,,,16,0.579,,,
,,,,,,,,,,,17.0,10.9,,,,,,17,0.347,,,
,,,,,,,,,,,18.0,6.89,,,,,,18,0.579,,,
,,,,,,,,,,,19.0,6.93,,,,,,19,0.463,,,
,,,,,,,,,,,20.0,6.94,,,,,,20,0.579,,,
,,,,,,,,,,,,,,,,,,21,0.579,,,
,,,,,,,,,,,,,,,,,,22,0.695,,,
,,,,,,,,,,,,,,,,,,23,0.695,,,
,,,,,,,,,,,,,,,,,,24,0.579,,,
,,,,,,,,,,,,,,,,,,25,0.695,,,
,,,,,,,,,,,,,,,,,,26,0.579,,,
,,,,,,,,,,,,,,,,,,27,0.579,,,
,,,,,,,,,,,,,,,,,,28,0.579,,,
,,,,,,,,,,,,,,,,,,29,0.695,,,
,,,,,,,,,,,,,,,,,,30,0.579,,,
