Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
pointC_1Mhz_outdoor,2,1M,8635,ON,LONG,14,108.0,20,18.0,,1.0,100,60.0,0.369,29.167,238/1240,19,1,1.04,1.0,0.0,0.0
,,,,,,,,,,,2.0,9.42,,,,,,2,0.348,2.0,-100.0,4.0
,,,,,,,,,,,3.0,24.9,,,,,,3,0.232,3.0,-100.0,4.0
,,,,,,,,,,,4.0,44.0,,,,,,4,0.348,4.0,-100.0,4.0
,,,,,,,,,,,5.0,18.0,,,,,,5,0.347,5.0,-101.0,4.0
,,,,,,,,,,,6.0,18.9,,,,,,6,0.348,6.0,-100.0,4.0
,,,,,,,,,,,7.0,15.9,,,,,,7,0.347,7.0,-100.0,4.0
,,,,,,,,,,,8.0,29.9,,,,,,8,0.348,8.0,-100.0,4.0
,,,,,,,,,,,9.0,34.9,,,,,,9,0.347,9.0,-100.0,4.0
,,,,,,,,,,,10.0,16.0,,,,,,10,0.463,10.0,-100.0,4.0
,,,,,,,,,,,11.0,15.9,,,,,,11,0.463,11.0,-100.0,4.0
,,,,,,,,,,,12.0,15.9,,,,,,12,0.463,12.0,-101.0,4.0
,,,,,,,,,,,13.0,40.0,,,,,,13,0.463,13.0,-100.0,4.0
,,,,,,,,,,,14.0,15.9,,,,,,14,0.463,14.0,-100.0,5.0
,,,,,,,,,,,15.0,15.9,,,,,,15,0.463,15.0,-100.0,4.0
,,,,,,,,,,,16.0,16.9,,,,,,16,0.579,,,
,,,,,,,,,,,17.0,15.9,,,,,,17,0.463,,,
,,,,,,,,,,,18.0,15.9,,,,,,18,0.579,,,
,,,,,,,,,,,,,,,,,,19,0.463,,,
,,,,,,,,,,,,,,,,,,20,0.463,,,
,,,,,,,,,,,,,,,,,,21,0.463,,,
,,,,,,,,,,,,,,,,,,22,0.579,,,
,,,,,,,,,,,,,,,,,,23,0.463,,,
,,,,,,,,,,,,,,,,,,24,0.579,,,
,,,,,,,,,,,,,,,,,,25,0.463,,,
,,,,,,,,,,,,,,,,,,26,0.579,,,
,,,,,,,,,,,,,,,,,,27,0.463,,,
,,,,,,,,,,,,,,,,,,28,0.579,,,
,,,,,,,,,,,,,,,,,,29,0.579,,,
,,,,,,,,,,,,,,,,,,30,0.579,,,
